unix,open,high,low,close,Volume BTC,Volume USDT,gains,losses,gains ave,losses ave,rs,rsi,rsi ma,rsi ema
1.50604E+12,5861.77,5980,5649.24,5768.83,1394.13,8110889.65,0,92.94,1336.196044,857.5642492,1.558129371,60.90893559,69.29967627,68.52471005
1.50604E+12,5768.83,5850.02,5630.03,5719.64,1269.38,7265286.61,0,49.19,1240.75347,845.4996599,1.467479561,59.47281526,69.35787637,68.92871702
1.50604E+12,5719.64,6189.88,5648.01,6169.98,1783.44,10494670.52,450.34,0,1602.468222,785.1068271,2.04108303,67.11697806,69.52124666,69.18838849
1.50604E+12,6169.98,6248.68,6030,6120.5,1467.03,8989412.91,0,49.48,1488.006206,778.507768,1.911356915,65.65175521,69.46489339,69.30703001
1.50604E+12,6120.5,6498.01,6100,6463,1498.91,9405855.26,342.5,0,1724.220048,722.9000703,2.385143008,70.45915054,69.645312,69.45698166
1.50604E+12,6463,6774.67,6338.02,6753.98,1659.85,10848260.96,290.98,0,1892.041473,671.264351,2.818623499,73.81255313,69.94490313,69.46251987
1.50604E+12,6753.98,7300,6685.1,7019.98,2459.59,17065694.69,266,0,2022.895654,623.3168973,3.245372719,76.44494215,69.90025922,69.59047436
1.50604E+12,7019.98,7346.34,6923,7115.04,1857.73,13371961.76,95.06,0,1973.463107,578.7942618,3.409610698,77.32226112,69.7835508,69.8385745
1.50604E+12,7115.04,7480.99,6901,7357.09,1385.7,9967485.56,242.05,0,2074.551457,537.4518145,3.859976654,79.42376947,69.66846712,69.88175381
1.50604E+12,7357.09,7590.25,7279.02,7345.01,1192.58,8887109.79,0,12.08,1926.36921,511.1423992,3.768752529,79.03015529,69.82348272,69.81301171
1.50604E+12,7345.01,7401,6906,6960.12,1741.45,12518224.29,0,384.89,1788.771409,859.5222279,2.081122921,67.54430038,69.40346302,69.71183049
1.50604E+12,6960.12,7198.49,6901,7064.04,1421.75,10043061.88,103.92,0,1764.922023,798.127783,2.211327635,68.86023123,69.33559965,69.78998705
1.50604E+12,7064.04,7770,6651,7303,2726.84,19801967.39,238.96,0,1877.816164,741.1186556,2.533759135,71.70152346,69.54129716,69.51942023
1.50604E+12,7303,7392,7015,7079.99,1893.28,13654254.41,0,223.01,1743.686438,911.1916088,1.913633116,65.67858889,69.32910465,69.39074582
1.50604E+12,7079.99,7279.91,6255.01,6506.98,3186.23,21622898.73,0,573.01,1619.137407,1419.116494,1.140947493,53.29170832,68.31785321,69.49613176
1.50604E+12,6506.98,6797.98,6100,6245.05,2685.67,17244601.14,0,261.93,1503.484735,1579.68103,0.951764759,48.76431725,67.08226027,69.37921278
1.50604E+12,6245.05,6630,5325.01,5811.03,4854.44,29032268.06,0,434.02,1396.092968,1900.866671,0.734450758,42.34486075,65.6742835,68.63626108
1.50604E+12,5811.03,6697.47,5699.99,6465.99,2543.41,16021297.87,654.96,0,1951.332042,1765.09048,1.105513889,52.50565646,64.81187062,67.54846051
1.50604E+12,6465.99,6684.98,6311.07,6574.99,1228.66,8002218.02,109,0,1920.951182,1639.012589,1.172017344,53.959852,64.69099401,66.2365366
1.50604E+12,6574.99,7298,6574.99,7240.06,1745.83,12209260.29,665.07,0,2448.810383,1521.940261,1.609005587,61.67122045,64.74138636,65.23927042
1.50604E+12,7240.06,7940,7076,7864.5,2294.2,17218742.72,624.44,0,2898.335356,1413.230242,2.050858571,67.22234163,64.91371032,64.85547694
1.50604E+12,7864.5,7989,7451,7699.19,3893.14,30331551.17,0,165.31,2691.311402,1477.595225,1.821413169,64.55676854,65.08741665,64.77561353
1.50604E+12,7699.19,7819.99,7422,7761.94,3912.88,30018085.64,62.75,0,2561.824873,1372.052709,1.867147564,65.12213,65.35643163,64.87228128
1.50604E+12,7761.94,8123.15,7650.33,8038,3845.99,30155811.14,276.06,0,2654.897382,1274.048944,2.083826838,67.57275773,65.37813543,65.02287604
1.50604E+12,8038,8319.99,7954,8212,3857,31325904.01,174,0,2639.261855,1183.045448,2.230904873,69.04891851,65.53990511,65.25636496
1.50604E+12,8212,8400,7801,8119.51,4468.09,36459262.83,0,92.49,2450.743151,1191.032202,2.057663216,67.29528633,65.38924491,65.34160429
1.50604E+12,8119.51,8322.68,8091.09,8205.92,3518.81,28909672.15,86.41,0,2362.100069,1105.958473,2.135794541,68.11015559,65.11770217,65.48041486
1.50604E+12,8205.92,8260,8000,8019.99,4054.54,33078791.97,0,185.93,2193.378635,1212.891439,1.808388257,64.39238778,64.54377101,65.4165959
1.50604E+12,8019.99,8369,7850,8138,4331.83,35190695.02,118.01,0,2154.718733,1126.256336,1.913169021,65.67312117,63.98905006,65.20737029
1.50604E+12,8138,8734.78,8090,8700.01,4228.66,35557462.89,562.01,0,2562.820252,1045.809455,2.45056137,71.01920839,63.58883286,64.74285079
1.50604E+12,8700.01,9350,8604.72,9128.02,4108.18,36788798.23,428.01,0,2807.771662,971.1087798,2.891304991,74.30168023,63.36366739,64.21519028
1.50604E+12,9128.02,9654.28,9112.04,9650,4473.98,42510408.37,521.98,0,3129.196544,901.743867,3.47016116,77.62944189,63.84391222,63.77674009
1.50604E+12,9650,9939,9570.5,9896.8,4877.07,47842436.8,246.8,0,3152.482505,837.3335908,3.764906292,79.01322841,64.32738828,63.4875892
1.50604E+12,9896.8,11300.03,8520,9687.88,13041.92,132892125.4,0,208.92,2927.305183,986.4440486,2.967532915,74.79542019,64.47471669,63.73701531
1.50604E+12,9687.88,10900,8850.8,9838.96,9181.76,89443707.91,151.08,0,2869.291956,915.9837594,3.132470337,75.8013992,64.95675528,64.15027639
1.50604E+12,9838.96,10898,9380,10782.99,6033.85,61238619.44,944.03,0,3608.37253,850.556348,4.242367409,80.92464869,66.27260958,64.3773846
1.50604E+12,10782.99,11190,10620,10890.01,4700.93,51343786.05,107.02,0,3457.651635,789.8023231,4.377869669,81.40527641,67.82694097,64.78294407
1.50604E+12,10890.01,11825,10500,11165.41,5212.23,58847089.26,275.4,0,3486.076518,733.3878715,4.753387196,82.61893445,69.744754,65.82570993
1.50604E+12,11165.41,11600,10802,11579,4599.15,52088059.28,413.59,0,3650.661053,681.0030235,5.36071196,84.27848948,71.25774605,67.22657166
1.50604E+12,11579,11853,11447.68,11699.99,5510.92,64256817.15,120.99,0,3510.889549,632.3599504,5.552042862,84.73758458,72.72335236,68.9892993
1.50604E+12,11699.99,13615.23,11665.58,13550.05,6556.68,82493149.76,1850.06,0,5110.171724,587.1913825,8.702736239,89.69362894,74.05775277,70.57721203
1.50604E+12,13550.05,16649.96,13050,16599,7262.95,106276261.2,3048.95,0,7794.109458,545.2491409,14.29458366,93.46173768,75.30724782,72.07951026
1.50604E+12,16599,17204.99,14015,15880,17344.04,267790028.5,0,719,7237.387354,1225.302774,5.906611418,85.5211197,76.30555025,73.46428002
1.50604E+12,15880,16269.3,12535,14656.07,13725,202610478.6,0,1223.93,6720.431114,2361.711147,2.845577082,73.99610049,76.72812028,74.75435748
1.50604E+12,14656.07,15720.12,12368,14899.98,16107.43,227450819.9,243.91,0,6484.31032,2193.017494,2.956798265,74.72704108,77.06880044,75.84019242
1.50604E+12,14899.98,17470,14899.98,16587.97,11632.79,189991754.6,1687.99,0,7709.135298,2036.373387,3.785717957,79.10449364,77.54763735,76.46174192
1.50604E+12,16587.97,16976.45,15875,16349.99,9309.36,153618681.2,0,237.98,7158.482776,2128.898145,3.362529482,77.07751881,78.01345794,76.88668288
1.50604E+12,16349.99,16546,14666.56,16033.29,12216.88,193659309.9,0,316.7,6647.162578,2293.533992,2.898218471,74.34725612,78.31046273,77.34935101
1.50604E+12,16033.29,16445,15450,16334.98,11220.26,179714368.7,301.69,0,6474.055251,2129.710135,3.039876246,75.24676651,78.82733791,77.81422586
1.50604E+12,16334.98,17991,16298.45,17539.83,8999.13,156645098.6,1204.85,0,7216.472733,1977.587983,3.649128532,78.49059253,79.43769369,78.16159167
1.50604E+12,17539.83,19539,17190.01,19102.66,4118.28,74736577.26,1562.83,0,8263.840395,1836.331698,4.500189374,81.81880783,79.95196033,78.62761404
1.50604E+12,19102.66,19798.68,18510,18860.02,8980.73,172113390.5,0,242.64,7673.566081,1947.805148,3.939596364,79.75543088,80.21166274,79.19466979
1.50604E+12,18860.02,19300,17029.98,18856.25,10280.98,190057336.9,0,3.77,7125.454218,1812.446209,3.931401761,79.7217901,80.31129837,79.72477317
1.51E+12,18860.04,19300,17029.98,18856.25,10624.63307,196339245.7,0,0,6616.493203,1682.985766,3.931401761,79.7217901,80.3450394,80.06559587
1.51E+12,18856.25,18950,16300,17295.2,13210.74822,232790625.9,0,1561.05,6143.886545,3123.822497,1.966784781,66.29347682,79.94018495,80.23758762
1.51E+12,17295.2,17720.35,14777.66,16488.98,13450.49669,221193892.5,0,806.22,5705.037506,3706.912318,1.539026828,60.61483128,79.21701505,80.31280387
1.51E+12,16480.52,17309.5,14022,15492.64,20324.2173,320176825.3,0,996.34,5297.534827,4438.472867,1.193548994,54.41177733,77.95449737,80.05197063
1.51E+12,15514.03,15699.34,10961,13326.61,36076.27118,477509934.7,0,2166.03,4919.139482,6287.469091,0.782371955,43.89498795,76.16829316,79.46750173
1.51E+12,13326.61,14950,12978.18,13300,13141.53888,184759685.3,0,26.61,4567.772377,5864.974156,0.778822251,43.78302839,74.3189643,78.40839868
1.51E+12,13300,13819.99,11640,13500,28557.53499,365709589.6,200,0,4441.502921,5446.04743,0.815546133,44.92015477,72.44475788,76.84032481
1.51E+12,13500,14300,12708,13699.34,15748.20761,213139657.6,199.34,0,4323.592712,5057.044042,0.854964417,46.09061011,70.60442576,75.07537245
1.51E+12,13699.34,16050,13533,15689.01,15034.6681,224843731.9,1989.67,0,6004.434662,4695.826611,1.278674695,56.11484158,69.00543589,73.23394225
1.51E+12,15709.98,16498.05,14200.15,15459.99,14959.86472,231229932.5,0,229.02,5575.546471,4589.430424,1.21486676,54.85055725,67.16680825,71.39328071
1.51E+12,15459.97,15539.99,13150,14182.11,21717.85801,303401228,0,1277.88,5177.293152,5539.493966,0.934614819,48.31012406,65.39485608,69.72178934
1.51E+12,14199.14,14981,13850,14378.9,18072.00812,260911629.2,196.79,0,5004.276498,5143.815825,0.97287241,49.31248494,64.21944581,67.93330258
1.51E+12,14378.99,14398.85,11750,12440.01,19221.15804,247803953.8,0,1938.89,4646.828177,6715.290409,0.691977248,40.89755042,62.60851769,66.15639003
1.51E+12,12345.1,14050.11,12149.98,13716.36,11768.98972,155283285.4,1276.35,0,5591.261879,6235.626808,0.896663968,47.27584766,61.09286788,64.80052908
1.51E+12,13715.65,13818.55,12750,13380,8609.915844,114799747.4,0,336.36,5191.88603,6126.584894,0.847435581,45.87091371,59.60683906,63.2661211
1.51E+12,13382.16,15473.49,12890.02,14675.11,20078.09211,279717107.4,1295.11,0,6116.147028,5688.971687,1.075088323,51.80928016,58.53360211,61.74484385
1.51E+12,14690,15307.56,14150,14919.51,15905.66764,236116868.3,244.4,0,5923.679383,5282.616566,1.121353274,52.8602797,57.46757893,60.2482405
1.52E+12,14919.51,15280,13918.04,15059.54,21329.64957,312781583.8,140.03,0,5640.589427,4905.286812,1.149900025,53.4862092,56.27689401,59.04799363
1.52E+12,15059.56,17176.24,14600,16960.39,23251.49113,369321956.5,1900.85,0,7138.540182,4554.909182,1.567218993,61.04734334,55.28777665,57.94170334
1.52E+12,16960.39,17143.13,16011.21,17069.79,18571.45751,309216921,109.4,0,6738.044455,4229.558526,1.593084577,61.43588956,54.41541754,56.77633681
1.52E+12,17069.79,17099.96,15610,16150.03,12493.12556,206194706.4,0,919.76,6256.755565,4847.207203,1.290795979,56.34705101,53.30233473,55.7343447
1.52E+12,16218.85,16322.3,12812,14902.54,26600.60991,396569997.2,0,1247.49,5809.844454,5748.468117,1.01067699,50.26550734,51.8996546,54.81109569
1.52E+12,14902.54,15500,14011.05,14400,14315.00425,210630187.5,0,502.54,5394.855564,5840.403252,0.923712855,48.01718993,51.02935522,53.75496302
1.52E+12,14401,14955.66,13131.31,14907.09,17411.00166,244011366.8,507.09,0,5516.598738,5423.231591,1.017216146,50.42673033,50.54420756,52.45624712
1.52E+12,14940,14968.68,11400,13238.78,33554.72375,446587594.7,0,1668.31,5122.555971,6704.167906,0.764085274,43.3133979,50.0157133,51.45742279
1.52E+12,13238.76,14109.78,12500,13740.01,16417.16214,222516076.3,501.23,0,5257.889116,6225.29877,0.844600285,45.78771303,50.10584307,50.81817213
1.52E+12,13749.95,14580,13706.15,14210,12221.50853,173086488.5,469.99,0,5352.315608,5780.634572,0.925904508,48.07634564,50.31028674,50.25645095
1.52E+12,14210,14339.5,12569.2,13474.99,17017.89433,226525305.1,0,735.01,4970.00735,6102.742102,0.814389215,44.88503394,50.30861432,50.15102543
1.52E+12,13477.98,14249.99,13147.79,13539.93,14652.09471,200614554.5,64.94,0,4679.946825,5666.831952,0.825848881,45.23095473,50.26767835,50.26250835
