unix,open,high,low,close,Volume ETH,Volume USDT
1.60255E+12,386.51,387.75,374.51,381.04,645141.9139,246276552
1.60246E+12,374.17,394.8,365.58,386.51,844422.6544,320587055.5
1.60237E+12,370.51,377.6,368.87,374.16,373318.2378,139329772.5
1.60229E+12,365.01,378.4,364.71,370.52,591005.3213,220607973
1.6022E+12,350.94,368.33,347.32,365.02,650478.1934,232878561.9
1.60212E+12,341.58,353.32,334.21,350.95,631794.8756,217322067
1.60203E+12,340.8,342.85,332.18,341.58,541928.8638,183873686.4
1.60194E+12,353.63,355.1,336.8,340.75,640063.2695,221765553.6
1.60186E+12,352.34,356.1,348.54,353.62,376740.3069,132656713
1.60177E+12,345.94,354.45,343.81,352.37,343932.9171,119961274.7
1.60168E+12,345.6,351,343.7,345.95,303595.719,105401893.4
1.6016E+12,352.83,354.55,334.24,345.6,733571.8421,251829017.5
1.60151E+12,359.83,370.45,345.51,352.85,758349.3196,271468849.8
1.60142E+12,359.78,361.5,351.56,359.83,498943.2323,177784824.5
1.60134E+12,353.91,360.63,350.45,359.79,585143.1689,208028826.5
1.60125E+12,357.58,368.2,351.7,353.96,757758.4304,273063157.8
1.60116E+12,353.95,362.14,347.24,357.49,569568.5504,202411362.7
1.60108E+12,351.93,356.4,345.88,353.92,530879.2076,186812160.4
1.60099E+12,348.97,358,337.58,351.92,860643.7792,298266918.8
1.60091E+12,320.72,353.1,316.67,348.97,1071705.097,360708689.4
1.60082E+12,344.18,344.65,313.29,320.72,940904.4976,313808761.1
1.60073E+12,340.31,346.91,335.34,344.21,842731.1288,288166815.5
1.60065E+12,371.04,376.8,331,340.36,1283946.031,452134893.6
1.60056E+12,385.25,385.45,365,371.04,693164.4014,259700927.5
1.60047E+12,384.4,388.72,377,385.25,570908.3355,218785730.1
1.60039E+12,389.35,392.58,375.33,384.39,804194.4722,308748579.8
1.6003E+12,365.04,394.14,363.3,389.36,1256300.411,479026710.9
1.60021E+12,364.05,373.45,355,365.11,841709.9894,306622238.1
1.60013E+12,377.12,382.47,362.34,364.06,883856.3301,328317009.6
1.60004E+12,366.43,384.64,355.73,377.12,1042059.623,387238794.7
1.59996E+12,387.78,390.43,350,366.42,989195.6905,367969518.5
1.59987E+12,373.62,388.57,364.73,387.78,766542.3164,287133871.2
1.59978E+12,367.93,375.27,355.49,373.63,844017.5997,308822715.1
1.5997E+12,350.85,377.25,349.91,367.93,1134287.611,416598205.7
1.59961E+12,337.41,359,330.51,350.85,879760.5626,304910633.8
1.59952E+12,353.59,356.58,325.38,337.39,1400246.83,476444912.5
1.59944E+12,352.85,358.51,323,353.59,1740618.425,596754172.7
1.59935E+12,335.04,360,316.1,352.8,2017811.147,691925087.4
1.59926E+12,385.3,395,308.42,335.01,2777166.514,967730464.9
1.59918E+12,381.35,400.21,357,385.26,1806488.225,696658932.1
1.59909E+12,439.5,450.7,372,381.4,2408569.342,995567239
1.599E+12,475.4,481.39,420,439.5,1880642.469,844475154.7
1.59892E+12,433.8,488.84,429.03,475.4,1751354.577,813662129.7
1.59883E+12,428.94,439,418.04,433.79,1040748.689,447866996.2
1.59875E+12,398.65,429.89,398.3,428.94,894979.7179,370467271.1
1.59866E+12,395.1,405.69,391.88,398.65,659802.6334,263787683
1.59857E+12,383.31,398,379.75,395.11,732601.4691,286555002
1.59849E+12,385.81,397.1,371.48,383.27,877763.7366,336647752.3
1.5984E+12,382.91,392.91,377.37,385.81,738690.7794,284504413.1
1.59831E+12,407.68,409.06,370,382.93,970445.384,375681480.2
1.59823E+12,390.72,410.42,387.44,407.68,717403.8188,287991794.2
1.59814E+12,395.23,396.95,383.15,390.71,445317.8199,173799978
1.59805E+12,387.93,397.04,379.92,395.24,643235.7654,250069873.4
1.59797E+12,415.94,418.68,385.1,387.97,860998.7256,347455883.5
1.59788E+12,407.46,418.98,402.07,415.94,663555.7345,273292342.2
1.5978E+12,421.92,426.75,393.25,407.46,978339.6922,400208683.3
1.59771E+12,430.89,433.81,415,421.95,743254.5702,316635287
1.59762E+12,433.61,446,420.37,430.89,868870.65,375038999.5
1.59754E+12,432.3,436.99,412.47,433.62,716666.2526,305445885.8
1.59745E+12,438.12,442.94,427.02,432.32,681698.5971,296652970.5
1.59736E+12,424.54,444.71,417.05,438.11,1109670.943,477180580.1
1.59728E+12,387.18,431.49,376.59,424.54,1511330.773,604810975.1
1.59719E+12,378.99,389.23,365.85,387.18,751848.7983,285872467.6
1.5971E+12,395.43,398.21,367,379,992412.6023,381981614.6
1.59702E+12,390.14,399.18,385.13,395.44,826969.9063,326372434.9
